"";"instant";"dteday";"season";"yr";"mnth";"hr";"holiday";"weekday";"workingday";"weathersit";"temp";"atemp";"hum";"windspeed";"casual";"registered";"cnt"
"682";682;"2011-01-31";1;0;1;17;0;1;1;2;0,16;0,1515;0,59;0,194;6;155;161
"15904";15904;"2012-10-31";4;1;10;8;0;3;1;1;0,32;0,3333;0,81;0,1343;6;615;621
"3525";3525;"2011-05-31";2;0;5;18;0;2;1;1;0,84;0,803;0,53;0,194;55;362;417
"3580";3580;"2011-06-03";2;0;6;1;0;5;1;1;0,6;0,6212;0,38;0,3582;7;15;22
"3553";3553;"2011-06-01";2;0;6;22;0;3;1;1;0,74;0,697;0,66;0,1343;14;115;129
"14863";14863;"2012-09-16";3;1;9;11;0;0;0;1;0,64;0,6212;0,47;0,1642;183;376;559
"15993";15993;"2012-11-04";4;1;11;1;0;0;0;1;0,26;0,2879;0,81;0,0896;26;139;165
"8951";8951;"2012-01-13";1;1;1;19;0;5;1;1;0,26;0,2424;0,38;0,2836;7;199;206
"6501";6501;"2011-10-03";4;0;10;10;0;1;1;2;0,4;0,4091;0,66;0,1045;19;82;101
"13613";13613;"2012-07-26";3;1;7;9;0;4;1;2;0,72;0,6818;0,7;0,1343;55;289;344
"9102";9102;"2012-01-20";1;1;1;3;0;5;1;1;0,24;0,2576;0,52;0,1045;0;4;4
"10441";10441;"2012-03-16";1;1;3;3;0;5;1;2;0,4;0,4091;0,87;0,2836;0;3;3
"16814";16814;"2012-12-08";4;1;12;8;0;6;0;2;0,38;0,3939;0,94;0,0896;5;106;111
"15472";15472;"2012-10-11";4;1;10;20;0;4;1;1;0,42;0,4242;0,62;0,1642;27;388;415
"3290";3290;"2011-05-21";2;0;5;23;0;6;0;1;0,58;0,5455;0,78;0,0896;42;103;145
"10628";10628;"2012-03-23";2;1;3;22;0;5;1;1;0,6;0,6061;0,64;0,2836;53;218;271
"2398";2398;"2011-04-14";2;0;4;19;0;4;1;1;0,54;0,5152;0,32;0;37;222;259
"11054";11054;"2012-04-10";2;1;4;17;0;2;1;1;0,56;0,5303;0,21;0,5224;88;656;744
"7455";7455;"2011-11-12";4;0;11;5;0;6;0;1;0,22;0,2576;0,75;0,0896;1;3;4
"5341";5341;"2011-08-15";3;0;8;10;0;1;1;1;0,68;0,6364;0,69;0,2836;54;87;141
"8520";8520;"2011-12-26";1;0;12;17;1;1;0;1;0,34;0,3182;0,46;0,2239;30;67;97
"12486";12486;"2012-06-09";2;1;6;10;0;6;0;1;0,7;0,6515;0,51;0,1045;168;298;466
"763";763;"2011-02-04";1;0;2;5;0;5;1;2;0,14;0,1515;0,63;0,1343;0;7;7
"17350";17350;"2012-12-30";1;1;12;18;0;0;0;2;0,24;0,2121;0,44;0,2985;12;113;125
"12293";12293;"2012-06-01";2;1;6;9;0;5;1;2;0,64;0,5758;0,83;0,2239;24;274;298
"14349";14349;"2012-08-26";3;1;8;1;0;0;0;1;0,64;0,5758;0,89;0,194;18;116;134
"14859";14859;"2012-09-16";3;1;9;7;0;0;0;1;0,5;0,4848;0,77;0,1045;28;43;71
"7949";7949;"2011-12-02";4;0;12;20;0;5;1;1;0,38;0,3939;0,4;0,2836;12;178;190
"11261";11261;"2012-04-19";2;1;4;9;0;4;1;2;0,46;0,4545;0,72;0;31;270;301
"5164";5164;"2011-08-08";3;0;8;1;0;1;1;1;0,68;0,6364;0,83;0,1343;4;8;12
"10564";10564;"2012-03-21";2;1;3;6;0;3;1;2;0,48;0,4697;0,94;0,2239;10;139;149
"62";62;"2011-01-03";1;0;1;16;0;1;1;1;0,26;0,2424;0,3;0,2537;9;67;76
"5424";5424;"2011-08-18";3;0;8;21;0;4;1;2;0,68;0,6364;0,79;0;12;137;149
"10036";10036;"2012-02-28";1;1;2;4;0;2;1;1;0,32;0,2879;0,42;0,3582;0;2;2
"6475";6475;"2011-10-02";4;0;10;8;0;0;0;2;0,34;0,3333;0,76;0,194;14;50;64
"15450";15450;"2012-10-10";4;1;10;22;0;3;1;1;0,46;0,4545;0,55;0,2985;27;170;197
"10219";10219;"2012-03-06";1;1;3;20;0;2;1;1;0,32;0,3182;0,49;0,194;3;184;187
"10906";10906;"2012-04-04";2;1;4;13;0;3;1;2;0,6;0,6212;0,46;0,2537;70;181;251
"5755";5755;"2011-09-02";3;0;9;5;0;5;1;2;0,6;0,5606;0,83;0,1343;0;20;20
"14108";14108;"2012-08-16";3;1;8;0;0;4;1;1;0,66;0,6212;0,69;0;13;63;76
"15641";15641;"2012-10-18";4;1;10;21;0;4;1;2;0,54;0,5152;0,77;0,194;38;245;283
"966";966;"2011-02-12";1;0;2;20;0;6;0;1;0,26;0,2576;0,41;0,2239;1;39;40
"10511";10511;"2012-03-19";1;1;3;1;0;1;1;1;0,46;0,4545;0,88;0,1045;0;15;15
"13124";13124;"2012-07-06";3;1;7;0;0;5;1;1;0,78;0,7424;0,62;0,1343;39;63;102
"14411";14411;"2012-08-28";3;1;8;15;0;2;1;1;0,82;0,7273;0,34;0,2985;59;258;317
"5940";5940;"2011-09-10";3;0;9;0;0;6;0;1;0,62;0,5455;0,94;0;32;84;116
"6230";6230;"2011-09-22";3;0;9;3;0;4;1;2;0,6;0,5152;0,94;0,0896;5;7;12
"5246";5246;"2011-08-11";3;0;8;11;0;4;1;1;0,76;0,6667;0,35;0,2537;59;128;187
"4836";4836;"2011-07-25";3;0;7;9;0;1;1;1;0,8;0,803;0,66;0;11;124;135
"8743";8743;"2012-01-05";1;1;1;2;0;4;1;1;0,2;0,2273;0,51;0,0896;0;4;4
"7990";7990;"2011-12-04";4;0;12;13;0;0;0;1;0,4;0,4091;0,66;0,2239;88;269;357
"7192";7192;"2011-11-01";4;0;11;6;0;2;1;1;0,32;0,3182;0,81;0,194;3;90;93
"12152";12152;"2012-05-26";2;1;5;12;0;6;0;1;0,74;0,697;0,66;0,2239;236;293;529
"9245";9245;"2012-01-26";1;1;1;2;0;4;1;2;0,28;0,2727;0,75;0,1642;1;6;7
"2748";2748;"2011-04-29";2;0;4;9;0;5;1;1;0,54;0,5152;0,39;0,3284;45;185;230
"10974";10974;"2012-04-07";2;1;4;9;0;6;0;1;0,4;0,4091;0,3;0,2537;103;173;276
"11919";11919;"2012-05-16";2;1;5;19;0;3;1;1;0,7;0,6515;0,54;0,2836;91;499;590
"4355";4355;"2011-07-05";3;0;7;8;0;2;1;1;0,72;0,6818;0,62;0,1343;41;391;432
"118";118;"2011-01-06";1;0;1;2;0;4;1;1;0,16;0,2273;0,64;0;0;2;2
"12678";12678;"2012-06-17";2;1;6;10;0;0;0;1;0,58;0,5455;0,64;0;148;288;436
"9797";9797;"2012-02-18";1;1;2;3;0;6;0;1;0,28;0,2879;0,65;0,1045;3;15;18
"1993";1993;"2011-03-28";2;0;3;21;0;1;1;1;0,32;0,3333;0,21;0,1343;6;55;61
"11068";11068;"2012-04-11";2;1;4;8;0;3;1;1;0,3;0,2879;0,49;0,2239;14;581;595
"10613";10613;"2012-03-23";2;1;3;7;0;5;1;2;0,5;0,4848;0,93;0,1343;28;318;346
"10093";10093;"2012-03-01";1;1;3;14;0;4;1;1;0,58;0,5455;0,35;0,2239;37;174;211
"1437";1437;"2011-03-05";1;0;3;3;0;6;0;2;0,3;0,2879;0,87;0,194;0;2;2
"13471";13471;"2012-07-20";3;1;7;11;0;5;1;3;0,72;0,697;0,74;0,194;51;161;212
"13871";13871;"2012-08-06";3;1;8;3;0;1;1;3;0,72;0,697;0,79;0,0896;0;5;5
"272";272;"2011-01-12";1;0;1;18;0;3;1;1;0,2;0,1515;0,47;0,5224;2;135;137
"12755";12755;"2012-06-20";2;1;6;15;0;3;1;1;0,9;0,8182;0,35;0;36;143;179
"1405";1405;"2011-03-03";1;0;3;19;0;4;1;1;0,2;0,197;0,4;0,2537;5;101;106
"7309";7309;"2011-11-06";4;0;11;3;0;0;0;1;0,24;0,2879;0,87;0;5;4;9
"10267";10267;"2012-03-08";1;1;3;20;0;4;1;2;0,6;0,6212;0,43;0,3881;20;282;302
"10194";10194;"2012-03-05";1;1;3;19;0;1;1;1;0,26;0,2576;0,53;0,2239;6;220;226
"9971";9971;"2012-02-25";1;1;2;11;0;6;0;1;0,3;0,2576;0,39;0,6119;23;187;210
"1257";1257;"2011-02-25";1;0;2;12;0;5;1;3;0,54;0,5152;0,6;0,4627;20;95;115
"12183";12183;"2012-05-27";2;1;5;19;0;0;0;1;0,76;0,7121;0,58;0,194;230;212;442
"14162";14162;"2012-08-18";3;1;8;6;0;6;0;1;0,6;0,5606;0,83;0,2239;4;23;27
"5746";5746;"2011-09-01";3;0;9;20;0;4;1;1;0,66;0,6212;0,61;0,2239;33;247;280
"15585";15585;"2012-10-16";4;1;10;13;0;2;1;1;0,52;0,5;0,45;0,2836;68;260;328
"12707";12707;"2012-06-18";2;1;6;15;0;1;1;2;0,6;0,5909;0,69;0,194;61;176;237
"11190";11190;"2012-04-16";2;1;4;10;1;1;0;1;0,62;0,6061;0,69;0,2537;75;149;224
"173";173;"2011-01-08";1;0;1;11;0;6;0;2;0,2;0,1818;0,69;0,3881;2;60;62
"14544";14544;"2012-09-03";3;1;9;4;1;1;0;1;0,66;0,5909;0,89;0,0896;6;5;11
"12074";12074;"2012-05-23";2;1;5;6;0;3;1;1;0,56;0,5303;0,88;0,1045;6;154;160
"13550";13550;"2012-07-23";3;1;7;18;0;1;1;1;0,82;0,7576;0,46;0,1045;69;672;741
"15774";15774;"2012-10-24";4;1;10;10;0;3;1;2;0,54;0,5152;0,73;0;29;142;171
"2207";2207;"2011-04-06";2;0;4;19;0;3;1;1;0,5;0,4848;0,31;0,2985;36;196;232
"12605";12605;"2012-06-14";2;1;6;9;0;4;1;1;0,62;0,6061;0,61;0,2239;45;312;357
"12214";12214;"2012-05-29";2;1;5;2;0;2;1;1;0,68;0,6364;0,83;0,1343;0;8;8
"7752";7752;"2011-11-24";4;0;11;14;1;4;0;1;0,5;0,4848;0,31;0,2985;74;94;168
"2335";2335;"2011-04-12";2;0;4;4;0;2;1;2;0,56;0,5303;0,64;0,1343;4;2;6
"5656";5656;"2011-08-29";3;0;8;2;0;1;1;1;0,6;0,5909;0,69;0,194;8;5;13
"10331";10331;"2012-03-11";1;1;3;13;0;0;0;1;0,42;0,4242;0,41;0,2985;176;288;464
"13565";13565;"2012-07-24";3;1;7;9;0;2;1;1;0,84;0,803;0,53;0;40;299;339
"6668";6668;"2011-10-10";4;0;10;9;1;1;0;1;0,54;0,5152;0,77;0;58;161;219
"11034";11034;"2012-04-09";2;1;4;21;0;1;1;3;0,48;0,4697;0,41;0,4179;14;151;165
"12418";12418;"2012-06-06";2;1;6;14;0;3;1;1;0,64;0,6212;0,38;0;111;191;302
"9004";9004;"2012-01-16";1;1;1;0;1;1;0;1;0,14;0,1515;0,46;0,1343;2;23;25
"7873";7873;"2011-11-29";4;0;11;16;0;2;1;3;0,4;0,4091;0,87;0,2239;5;146;151
"3902";3902;"2011-06-16";2;0;6;11;0;4;1;2;0,68;0,6364;0,61;0,2985;33;117;150
"8888";8888;"2012-01-11";1;1;1;4;0;3;1;1;0,2;0,2121;0,8;0,1343;0;2;2
"13757";13757;"2012-08-01";3;1;8;9;0;3;1;2;0,68;0,6364;0,74;0,0896;34;316;350
"893";893;"2011-02-09";1;0;2;16;0;3;1;2;0,2;0,197;0,37;0,2537;7;72;79
"14303";14303;"2012-08-24";3;1;8;3;0;5;1;1;0,64;0,6061;0,73;0;2;6;8
"1154";1154;"2011-02-20";1;0;2;20;0;0;0;2;0,34;0,3636;0,42;0;12;30;42
"8529";8529;"2011-12-27";1;0;12;2;0;2;1;1;0,26;0,2727;0,7;0,1343;2;2;4
"16715";16715;"2012-12-04";4;1;12;5;0;2;1;2;0,44;0,4394;0,88;0;1;45;46
"8930";8930;"2012-01-12";1;1;1;22;0;4;1;1;0,38;0,3939;0,76;0,2985;12;121;133
"6040";6040;"2011-09-14";3;0;9;5;0;3;1;1;0,58;0,5455;0,88;0,1045;1;30;31
"8016";8016;"2011-12-05";4;0;12;15;0;1;1;2;0,46;0,4545;0,72;0,0896;16;132;148
"11382";11382;"2012-04-24";2;1;4;10;0;2;1;1;0,42;0,4242;0,47;0,2985;33;129;162
"5149";5149;"2011-08-07";3;0;8;10;0;0;0;1;0,8;0,803;0,66;0,1343;88;178;266
"1251";1251;"2011-02-25";1;0;2;6;0;5;1;3;0,34;0,3485;0,93;0,0896;0;11;11
"17053";17053;"2012-12-18";4;1;12;7;0;2;1;1;0,36;0,3485;0,93;0,1343;4;351;355
"15685";15685;"2012-10-20";4;1;10;17;0;6;0;1;0,54;0,5152;0,37;0,2239;347;384;731
"12628";12628;"2012-06-15";2;1;6;8;0;5;1;1;0,6;0,5909;0,69;0,1642;44;609;653
"1950";1950;"2011-03-27";2;0;3;0;0;0;0;2;0,26;0,2576;0,41;0,1642;5;26;31
"15227";15227;"2012-10-01";4;1;10;15;0;1;1;2;0,62;0,6212;0,43;0,1343;95;234;329
"16285";16285;"2012-11-16";4;1;11;6;0;5;1;2;0,3;0,3182;0,61;0,0896;4;126;130
"1731";1731;"2011-03-17";1;0;3;18;0;4;1;2;0,46;0,4545;0,59;0,1642;50;260;310
"9329";9329;"2012-01-29";1;1;1;14;0;0;0;1;0,32;0,303;0,26;0,2537;51;229;280
"16725";16725;"2012-12-04";4;1;12;15;0;2;1;2;0,6;0,6212;0,49;0,2537;56;244;300
"253";253;"2011-01-11";1;0;1;21;0;2;1;3;0,16;0,197;0,86;0,0896;0;20;20
"15302";15302;"2012-10-04";4;1;10;18;0;4;1;1;0,66;0,6212;0,57;0,1045;75;812;887
"4456";4456;"2011-07-09";3;0;7;13;0;6;0;1;0,82;0,7424;0,41;0,2239;167;249;416
"4133";4133;"2011-06-26";3;0;6;2;0;0;0;1;0,62;0,6212;0,57;0,1045;17;70;87
"6840";6840;"2011-10-17";4;0;10;13;0;1;1;1;0,56;0,5303;0,46;0,0896;49;156;205
"16422";16422;"2012-11-21";4;1;11;23;0;3;1;1;0,32;0,3485;0,61;0;7;50;57
"17354";17354;"2012-12-30";1;1;12;22;0;0;0;1;0,2;0,197;0,55;0,194;6;30;36
"5012";5012;"2011-08-01";3;0;8;17;0;1;1;1;0,76;0,6818;0,45;0,2985;69;445;514
"6005";6005;"2011-09-12";3;0;9;18;0;1;1;1;0,7;0,6515;0,54;0,194;56;515;571
"17378";17378;"2012-12-31";1;1;12;22;0;1;1;1;0,26;0,2727;0,56;0,1343;13;48;61
"6211";6211;"2011-09-21";3;0;9;8;0;3;1;2;0,54;0,5152;1;0,1045;18;444;462
"16853";16853;"2012-12-09";4;1;12;23;0;0;0;3;0,36;0,3636;1;0,0896;3;48;51
"6429";6429;"2011-09-30";4;0;9;10;0;5;1;1;0,6;0,6061;0,64;0;46;122;168
"9310";9310;"2012-01-28";1;1;1;19;0;6;0;2;0,42;0,4242;0,41;0,5522;33;173;206
"13269";13269;"2012-07-12";3;1;7;1;0;4;1;2;0,66;0,6212;0,61;0;0;21;21
"15522";15522;"2012-10-13";4;1;10;22;0;6;0;1;0,4;0,4091;0,62;0;33;156;189
"7189";7189;"2011-11-01";4;0;11;3;0;2;1;2;0,36;0,3485;0,81;0,1343;1;5;6
"2816";2816;"2011-05-02";2;0;5;5;0;1;1;2;0,44;0,4394;0,77;0,1343;4;16;20
"11012";11012;"2012-04-08";2;1;4;23;0;0;0;1;0,5;0,4848;0,39;0,2537;10;41;51
"7575";7575;"2011-11-17";4;0;11;5;0;4;1;3;0,34;0,303;0,71;0,3284;1;21;22
"12627";12627;"2012-06-15";2;1;6;7;0;5;1;1;0,56;0,5303;0,83;0,1642;17;413;430
"14180";14180;"2012-08-19";3;1;8;0;0;0;0;1;0,66;0,6212;0,57;0,0896;44;143;187
"5586";5586;"2011-08-25";3;0;8;15;0;4;1;2;0,74;0,697;0,7;0;28;104;132
"9980";9980;"2012-02-25";1;1;2;20;0;6;0;1;0,26;0,2121;0,3;0,5522;10;95;105
"1427";1427;"2011-03-04";1;0;3;17;0;5;1;2;0,36;0,3333;0,5;0,2537;22;206;228
"849";849;"2011-02-07";1;0;2;19;0;1;1;2;0,32;0,3485;0,7;0;5;123;128
"4821";4821;"2011-07-24";3;0;7;18;0;0;0;1;0,88;0,8182;0,42;0,1642;67;176;243
"5740";5740;"2011-09-01";3;0;9;14;0;4;1;3;0,72;0,6667;0,54;0,2537;54;144;198
"7660";7660;"2011-11-20";4;0;11;18;0;0;0;2;0,54;0,5152;0,64;0,194;22;123;145
"8855";8855;"2012-01-09";1;1;1;18;0;1;1;4;0,2;0,2273;0,86;0,0896;6;158;164
"3177";3177;"2011-05-17";2;0;5;6;0;2;1;3;0,52;0,5;0,94;0,2537;0;49;49
"9738";9738;"2012-02-15";1;1;2;16;0;3;1;1;0,42;0,4242;0,38;0,194;9;222;231
"13593";13593;"2012-07-25";3;1;7;13;0;3;1;1;0,78;0,6818;0,31;0,1642;81;231;312
"836";836;"2011-02-07";1;0;2;6;0;1;1;1;0,18;0,2424;0,93;0;1;29;30
"2323";2323;"2011-04-11";2;0;4;16;0;1;1;1;0,74;0,6667;0,48;0,5224;73;162;235
"2714";2714;"2011-04-27";2;0;4;23;0;3;1;2;0,62;0,5606;0,88;0,3582;25;53;78
"12306";12306;"2012-06-01";2;1;6;22;0;5;1;3;0,6;0,5455;0,88;0,1343;1;22;23
"1420";1420;"2011-03-04";1;0;3;10;0;5;1;1;0,24;0,2273;0,6;0,2537;10;56;66
"9455";9455;"2012-02-03";1;1;2;20;0;5;1;1;0,34;0,3485;0,49;0,1045;8;155;163
"14494";14494;"2012-09-01";3;1;9;2;0;6;0;1;0,7;0,6515;0,7;0,1642;8;61;69
"10015";10015;"2012-02-27";1;1;2;7;0;1;1;1;0,24;0,2273;0,6;0,2239;2;278;280
"13567";13567;"2012-07-24";3;1;7;11;0;2;1;2;0,84;0,803;0,53;0,3284;45;156;201
"12624";12624;"2012-06-15";2;1;6;4;0;5;1;1;0,56;0,5303;0,83;0,1642;1;13;14
"5971";5971;"2011-09-11";3;0;9;7;0;0;0;1;0,6;0,5455;0,88;0;9;28;37
